Adduct_name	Adduct_mass	Charge
M+3H	1.007276	3
M+2H+Na	8.33459	3
M+H+2Na	15.76619	3
M+3Na	22.989218	3
M+2H	1.007276	2
M+H+NH4	9.52055	2
M+H+Na	11.998247	2
M+H+K	19.985217	2
M+ACN+2H	21.52055	2
M+2Na	22.989218	2
M+2ACN+2H	42.033823	2
M+3ACN+2H	62.547097	2
M+H	1.007276	1
M+NH4	18.033823	1
M+Na	22.989218	1
M+CH3OH+H	33.033489	1
M+K	38.963158	1
M+ACN+H	42.033823	1
M+2Na-H	44.97116	1
M+IsoProp+H	61.06534	1
M+ACN+Na	64.015765	1
M+2K-H	76.91904	1
M+DMSO+H	79.02122	1
M+2ACN+H	83.06037	1
M+IsoProp+Na+H	84.05511	1
2M+H	1.007276	1
2M+NH4	18.033823	1
2M+Na	22.989218	1
2M+K	38.963158	1
2M+ACN+H	42.033823	1
2M+ACN+Na	64.015765	1
M-3H	-1.007276	-3
M-2H	-1.007276	-2
M-H2O-H	-19.01839	-1
M-H	-1.007276	-1
M+Na-2H	20.974666	-1
M+Cl	34.969402	-1
M+K-2H	36.948606	-1
M+FA-H	44.998201	-1
M+Hac-H	59.013851	-1
M+Br	78.918885	-1
M+TFA-H	112.985586	-1
2M-H	-1.007276	-1
2M+FA-H	44.998201	-1
2M+Hac-H	59.013851	-1
3M-H	1.007276	-1
